iter	MultiClass
0	2.580033231
1	2.4473848
2	2.350394269
3	2.29074862
4	2.228115855
5	2.158294196
6	2.111157532
7	2.084313211
8	2.032816129
9	2.001551683
10	1.982437363
11	1.959295929
12	1.931023245
13	1.919162293
14	1.89718886
15	1.885078019
16	1.865722067
17	1.849627324
18	1.834365649
19	1.828335381
20	1.81686792
21	1.801375292
22	1.791476128
23	1.779328914
24	1.772206789
25	1.761995238
26	1.752468212
27	1.745793983
28	1.739141325
29	1.727924249
30	1.715355821
31	1.713318538
32	1.710781249
33	1.708337768
34	1.700866489
35	1.696307556
36	1.69108802
37	1.687604944
38	1.680729113
39	1.678178743
40	1.675644864
41	1.673108783
42	1.670260635
43	1.667176477
44	1.666129211
45	1.662285444
46	1.655567804
47	1.65439565
48	1.650367063
49	1.648948744
50	1.646475248
51	1.640642673
52	1.636938225
53	1.634339561
54	1.633550329
55	1.632437621
56	1.627075994
57	1.625859442
58	1.625211792
59	1.621787384
60	1.619924848
61	1.616966331
62	1.61620306
63	1.611258915
64	1.608334658
65	1.60477255
66	1.602437305
67	1.600609718
68	1.59934856
69	1.597892925
70	1.594378983
71	1.593502577
72	1.590885917
73	1.588986389
74	1.586946812
75	1.584282503
76	1.581002165
77	1.578964336
78	1.576330633
79	1.573446423
80	1.570572182
81	1.569758774
82	1.568260116
83	1.566293173
84	1.565157557
85	1.563636711
86	1.562324709
87	1.560450316
88	1.559844598
89	1.558226003
90	1.555746231
91	1.552895005
92	1.54998431
93	1.549110252
94	1.547489629
95	1.545002282
96	1.543166897
97	1.542005955
98	1.541400911
99	1.539185847
100	1.536460523
101	1.534896506
102	1.532491081
103	1.529141925
104	1.526715365
105	1.524156231
106	1.520623234
107	1.518139315
108	1.515995336
109	1.512304694
110	1.509998389
111	1.50637494
112	1.504489383
113	1.501008671
114	1.499358525
115	1.497360701
116	1.494561587
117	1.492701109
118	1.488950299
119	1.486361678
120	1.483655015
121	1.479955841
122	1.477451988
123	1.474952711
124	1.472538568
125	1.470722129
126	1.467569434
127	1.465212497
128	1.462502464
129	1.459758427
130	1.457298563
131	1.455284933
132	1.45262371
133	1.450207521
134	1.448127724
135	1.446271979
136	1.444910499
137	1.442986771
138	1.441972061
139	1.440215902
140	1.438560414
141	1.437007554
142	1.435665306
143	1.434704701
144	1.433459291
145	1.432024446
146	1.430702971
147	1.429442101
148	1.427977147
149	1.426687675
150	1.425256799
151	1.424250722
152	1.423256267
153	1.422069638
154	1.421098972
155	1.419927196
156	1.419198704
