iter	Passed	Remaining
0	6	5997
1	11	5874
2	16	5466
3	21	5268
4	25	5163
5	30	5045
6	35	4990
7	39	4943
8	43	4832
9	48	4772
10	52	4693
11	56	4614
12	59	4549
13	64	4535
14	68	4471
15	72	4437
16	76	4404
17	80	4385
18	84	4344
19	87	4298
20	91	4270
21	95	4235
22	98	4205
23	103	4193
24	106	4172
25	110	4154
26	114	4119
27	118	4101
28	122	4101
29	126	4081
30	130	4066
31	134	4058
32	137	4042
33	141	4033
34	145	4024
35	149	4002
36	153	3989
37	157	3984
38	161	3967
39	164	3948
40	168	3952
41	173	3949
42	177	3941
43	181	3946
44	185	3943
45	190	3940
46	193	3919
47	197	3912
48	200	3897
49	204	3885
50	208	3881
51	212	3869
52	215	3857
53	219	3850
54	223	3841
55	227	3831
56	231	3828
57	235	3820
58	239	3816
59	243	3810
60	247	3812
61	251	3802
62	254	3792
63	258	3783
64	262	3777
65	266	3772
66	270	3767
67	274	3760
68	278	3753
69	281	3745
70	286	3742
71	290	3742
72	294	3734
73	298	3729
74	301	3718
75	305	3712
76	309	3710
77	313	3704
78	317	3699
79	321	3695
80	325	3691
81	328	3683
82	332	3675
83	337	3676
84	340	3665
85	344	3664
86	348	3657
87	352	3654
88	356	3647
89	360	3643
90	364	3637
91	367	3630
92	371	3624
93	376	3624
94	380	3620
95	384	3619
96	388	3613
97	392	3613
98	396	3609
99	400	3603
100	404	3599
101	407	3591
102	411	3585
103	415	3580
104	419	3574
105	423	3568
106	427	3563
107	430	3558
108	434	3554
109	438	3546
110	442	3540
111	445	3535
112	449	3532
113	454	3528
114	457	3521
115	461	3516
116	465	3511
117	468	3502
118	472	3495
119	475	3488
120	479	3484
121	483	3477
122	486	3469
123	490	3462
124	493	3457
125	497	3451
126	501	3444
127	504	3439
128	508	3436
129	512	3431
130	516	3427
131	520	3421
132	524	3415
133	527	3411
134	531	3407
135	535	3401
136	538	3394
137	542	3391
138	546	3383
139	549	3377
140	553	3371
141	557	3365
142	560	3360
143	564	3353
144	567	3346
145	571	3344
146	575	3337
147	579	3333
148	582	3326
149	585	3318
150	589	3312
151	592	3307
152	596	3302
153	600	3297
154	603	3291
155	607	3286
156	610	3278
157	614	3272
158	617	3267
159	621	3264
160	625	3260
161	629	3255
162	633	3251
163	636	3245
164	640	3240
165	643	3233
166	646	3226
167	650	3221
168	654	3217
169	657	3211
170	661	3207
171	665	3203
172	669	3198
173	672	3193
174	676	3187
175	680	3183
176	683	3178
177	686	3172
178	690	3168
179	694	3163
180	697	3158
181	701	3152
182	704	3145
183	708	3140
184	711	3134
185	714	3128
186	718	3123
187	722	3118
188	725	3112
189	729	3108
190	732	3104
